,"Fit time, s","Score time, s",R2,Model,MAE,MSE
0,214.06838130950928,0.7500863075256348,0.9402403515471799,MyBagging,34.190943622653165,32722.406061677226
1,180.612651348114,0.16971540451049805,0.9565846550365713,MyBagging,32.53437644683487,15157.93636047977
2,219.03277611732483,0.7397568225860596,0.7248739826382355,MyBagging,34.9176405645168,119570.8795479518
3,181.17137670516968,0.07894110679626465,0.9388860832069716,MyBagging,32.1169744739827,23787.439727757108
4,163.13259720802307,0.07814550399780273,0.9472287494688248,MyBagging,32.98975323299424,20693.739238443053
0,156.78107738494873,0.07663178443908691,0.9420523266650775,Bagging,34.08064733294341,31730.22844489768
1,177.00575733184814,0.3787398338317871,0.957893050755193,Bagging,32.11709770579858,14701.126007967352
2,156.20598554611206,0.3589742183685303,0.7245122467742001,Bagging,34.871676105226484,119728.09141704917
3,148.5563986301422,0.18739748001098633,0.9572921854784489,Bagging,31.11549670923621,16623.2114900467
4,152.13777422904968,0.31832098960876465,0.9537647275214236,Bagging,32.216378858882194,18130.71819711367
0,177.90527319908142,0.025361061096191406,0.940666497600426,RandomForest,35.606423685068464,32489.06258398074
1,181.13319396972656,0.08944368362426758,0.9576495286148472,RandomForest,33.6589048358967,14786.148782952527
2,119.12759709358215,0.4217686653137207,0.7273376191433183,RandomForest,34.85934682389704,118500.17316175118
3,170.80907440185547,0.06590080261230469,0.9578778418090064,RandomForest,32.6281531876283,16395.255806703823
4,171.10948181152344,0.10579752922058105,0.953508627203647,RandomForest,33.68449266128977,18231.145477907794
