,estimator_name,metric_name,metric_value,fit_predict_time,components_count
6,Sklearn KMeans,ari,0.23306991593322987,0.10269547999996576,60
7,Sklearn KMeans,ami,0.45310495374076215,0.10190169099951163,60
8,Sklearn KMeans,fmi,0.32574751710909733,0.08835899500263622,60
0,DBSCAN,ari,0.08392567553025136,0.35599032699974487,10
1,DBSCAN,ami,0.2657596666677455,0.2686192959990876,10
2,DBSCAN,fmi,0.31608541725157124,1.1403478829997766,10
3,DBSCAN,ari,0.10831319017990307,0.07467244700092124,20
4,DBSCAN,ami,0.34831291925461977,0.07699067599969567,20
5,DBSCAN,fmi,0.31608541725157124,0.8226687759997731,20
6,DBSCAN,ari,0.10728662198891332,0.126412450998032,60
7,DBSCAN,ami,0.3483048548836042,0.12433342300209915,60
8,DBSCAN,fmi,0.31608541725157124,0.8818754169988097,60
0,My KMeans,ari,0.249682439142699,0.2571712409990141,10
1,My KMeans,ami,0.4857237040069586,0.2450239669997245,10
2,My KMeans,fmi,0.34134351465400126,0.2414424050002708,10
3,My KMeans,ari,0.2500335769940549,0.20521785800156067,20
4,My KMeans,ami,0.4873790376310766,0.21195053399787867,20
5,My KMeans,fmi,0.3421557343360961,0.21333846600100514,20
6,My KMeans,ari,0.2498814655878192,0.5325850910012377,60
7,My KMeans,ami,0.4872702060135372,0.5249027559984825,60
8,My KMeans,fmi,0.3420237560117479,0.5277231539985223,60
0,Sklearn KMeans,ari,0.22278924424538943,0.09493175199895632,10
1,Sklearn KMeans,ami,0.4419026770650295,0.07693662100064103,10
2,Sklearn KMeans,fmi,0.3200506279105237,0.03524505300083547,10
3,Sklearn KMeans,ari,0.24463266740609677,0.08102739300011308,20
4,Sklearn KMeans,ami,0.46949260509940105,0.018029470997134922,20
5,Sklearn KMeans,fmi,0.33509659219620025,0.024200672000006307,20
6,Sklearn KMeans,ari,0.23306991593322987,0.10171623399946839,60
7,Sklearn KMeans,ami,0.45310495374076215,0.10459699700004421,60
8,Sklearn KMeans,fmi,0.32574751710909733,0.09664333700129646,60
0,DBSCAN,ari,0.08392567553025136,0.45233595199897536,10
1,DBSCAN,ami,0.2657596666677455,0.3695988830004353,10
2,DBSCAN,fmi,0.31608541725157124,0.9668098680012918,10
3,DBSCAN,ari,0.10831319017990307,0.07416689499950735,20
4,DBSCAN,ami,0.34831291925461977,0.07749281300129951,20
5,DBSCAN,fmi,0.31608541725157124,0.8203162489990063,20
6,DBSCAN,ari,0.10728662198891332,0.1243105600005947,60
7,DBSCAN,ami,0.3483048548836042,0.12275165099708829,60
8,DBSCAN,fmi,0.31608541725157124,0.8553491880011279,60
0,My KMeans,ari,0.249682439142699,0.2449551449972205,10
1,My KMeans,ami,0.4857237040069586,0.23177128399765934,10
2,My KMeans,fmi,0.34134351465400126,0.22849079500156222,10
3,My KMeans,ari,0.2500335769940549,0.19545187300172984,20
4,My KMeans,ami,0.4873790376310766,0.20091685700026574,20
5,My KMeans,fmi,0.3421557343360961,0.19702028899700963,20
6,My KMeans,ari,0.2498814655878192,0.5136788179988798,60
7,My KMeans,ami,0.4872702060135372,0.514207198000804,60
8,My KMeans,fmi,0.3420237560117479,0.5135627739982738,60
0,Sklearn KMeans,ari,0.22278924424538943,0.08050423899840098,10
1,Sklearn KMeans,ami,0.4419026770650295,0.08321143799912534,10
2,Sklearn KMeans,fmi,0.3200506279105237,0.07724923999921884,10
3,Sklearn KMeans,ari,0.24463266740609677,0.08044807300029788,20
4,Sklearn KMeans,ami,0.46949260509940105,0.07587360199977411,20
5,Sklearn KMeans,fmi,0.33509659219620025,0.07794371500131092,20
6,Sklearn KMeans,ari,0.23306991593322987,0.10703303099944605,60
7,Sklearn KMeans,ami,0.45310495374076215,0.09476324199931696,60
8,Sklearn KMeans,fmi,0.32574751710909733,0.1049059840006521,60
0,DBSCAN,ari,0.08392567553025136,0.4288805180003692,10
1,DBSCAN,ami,0.2657596666677455,0.45490549900205224,10
2,DBSCAN,fmi,0.31608541725157124,1.2189098589988134,10
3,DBSCAN,ari,0.10831319017990307,0.07915383099680184,20
4,DBSCAN,ami,0.34831291925461977,0.07926398000199697,20
5,DBSCAN,fmi,0.31608541725157124,0.8244752040009189,20
6,DBSCAN,ari,0.10728662198891332,0.12562799499937682,60
7,DBSCAN,ami,0.3483048548836042,0.12657408000086434,60
8,DBSCAN,fmi,0.31608541725157124,0.8702037830007612,60
